     100 files     200 files     300 files     376 text files.
classified 376 filesDuplicate file check 376 files (367 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               376 unique files.                              
Counting:  100Counting:  200Counting:  300      55 files ignored.

http://cloc.sourceforge.net v 1.60  T=1.79 s (195.4 files/s, 22193.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Components/CircleCollider.cpp                                   20             44             44
Core/Systems/Window/Window.h                                         14             14             44
Core/Systems/Editor/WindowTools.cpp                                  11             16             44
Core/Systems/GUI/ImGuiSFML.h                                         12             20             44
Core/Systems/Reflection/ReflectionMeta.h                              9             39             44
Core/Resources/Bank.cpp                                              14             59             44
Core/Objects/Components/ZilchComponent.h                             12             22             43
Core/Components/Transform.h                                          13             17             43
Core/Components/ParticleEmitter.h                                     7             11             43
Core/Components/SpriteText.h                                         12             10             42
Core/Resources/Texture2D.cpp                                         13             15             41
Core/Engine/MacrosBinding.h                                          13             29             41
Core/Objects/Object.cpp                                              14             53             41
Core/Systems/Input/InputSFML.h                                       17             14             41
Core/Systems/Filesystem/FileSystem.h                                 15             17             40
Core/Systems/DirectoryWatcher/MD5.h                                  19             34             40
Core/Objects/Entities/GameSession.h                                  22             11             40
Core/Engine/Profiler.h                                                7             27             39
Core/Debug/Debug.cpp                                                 22             72             39
Core/Engine/Timer.cpp                                                13             33             39
Core/Components/CameraViewport.h                                     15             15             39
Core/Systems/Editor/EditorInspectorPreview.cpp                       12             34             39
Core/Resources/SoundCue.cpp                                           9             40             39
Core/Components/ParticleColorAnimator.cpp                             6             25             38
Core/Components/BoxCollider.h                                        15             20             38
Core/Systems/GUI/Windows.h                                           12             23             37
Core/Components/SoundSpace.h                                         15             10             37
Core/Resources/Archetype.cpp                                         13             45             37
Core/Systems/Editor/EditorModule.cpp                                 11              9             36
Core/Events/EngineEvents.h                                           15             10             36
Core/Systems/Editor/EditorPreferences.h                              13             10             36
Core/Systems/Editor/WindowCreate.cpp                                  8             21             36
Core/Systems/Serialization/JSONObject.h                               9             13             35
Core/Objects/Entities/Mouse.cpp                                      13             13             35
Core/Daisy.cpp                                                       11             28             35
Core/Resources/SpriteLayer.h                                          8             22             35
Core/Resources/SoundInstance.h                                       10             18             34
Core/ComponentsInclude.h                                              6             18             34
Core/Events/GameEvents.h                                             10             10             34
Core/Components/Reactive.h                                            7             14             34
Core/Components/DebugActions.h                                        8             12             34
Core/Systems/Input/InputGLFW.h                                       14             13             32
Core/Systems/Window/WindowGLFW.h                                     21             14             32
Core/Components/DebugReport.h                                        10             14             31
Core/Components/Collider.h                                           15             37             31
Core/Systems/Reflection/Variant.h                                     9             32             31
Core/Systems/Input/Input.h                                            9             11             31
Core/Resources/Level.cpp                                             19             51             31
Core/Systems/Reflection/StringWrapper.cpp                            10              1             31
Core/Components/SoundEmitter.cpp                                     10             36             30
