     100 files     200 files     300 files     355 text files.
classified 355 filesDuplicate file check 355 files (343 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               355 unique files.                              
Counting:  100Counting:  200Counting:  300     204 files ignored.

http://cloc.sourceforge.net v 1.60  T=0.90 s (179.5 files/s, 30758.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Systems/Reflection/TypesMeta.cpp                                10              7             13
Core/Systems/Editor/TransformTool.cpp                                12             12             13
Core/Objects/Components/ZilchComponent.cpp                            4             12             12
Core/Systems/Editor/EditorCreator.cpp                                 7             17             12
Core/Engine/ActionCall.cpp                                            7             29             10
Core/Systems/Factory/ComponentFactoryMap.cpp                          6             50              9
Core/Systems/Audio/AudioFMOD_Utilities.cpp                            4              0              9
Core/Systems/System.cpp                                               2             12              8
Core/Engine/Event.cpp                                                 5             15              5
Core/Systems/Editor/ResourceEditor.cpp                                3              0              5
Core/Systems/Serialization/SerializerJSONCPP.cpp                     17            108              5
Core/Engine/Delegate.cpp                                              3              0              3
Core/Systems/Serialization/Serialization.cpp                          2             13              3
Core/Engine/EventDelegate.cpp                                        10             87              3
Core/Precompiled/Precompiled.cpp                                      2             12              1
-----------------------------------------------------------------------------------------------------
SUM:                                                               3817           9343          14606
-----------------------------------------------------------------------------------------------------
